Number,Latitude,Longitude,Title,Short_Desc,Image_Url,Cost,Size,Status,Category,Date,Occupant,Name,ParkName
1,66.89712101345486,-162.5875648502604,42591,G TRI-M WAREHOUSE (Warehouse),http://akrgis.nps.gov/apps/bldgs/photos/thumbs/WEAR/42591.jpg,"$1,914,205","7,370 Sq Ft",OPERATING,Administrative,1985,NPS,Kotzebue Warehouse front of bldg,
2,66.89337731336803,-162.60430118598092,42574,"Superintendent House 152, 152A",http://akrgis.nps.gov/apps/bldgs/photos/thumbs/WEAR/42574.jpg,"$733,292","4,000 Sq Ft",REMOVED,Housing-Single Family,unknown,NPS,"Superintendent House 152, 152 A 2 stories, front of bldg, Kotzebue",
3,58.441668398437514,-155.60511747395833,90936,VR-MCF/RR Margot Falls Comfort Station,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/90936.jpg,"$36,982",87 Sq Ft,OPERATING,Comfort Station,1996,NPS,VR-MCF/RR Margot Falls Comfort Station,
4,58.547428968098984,-155.79329521375868,38425,LB-MS  Mechanics Shed,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38425.jpg,"$63,158",256 Sq Ft,OPERATING,Serv/Shop/Maint,1981,NPS,LB-MS Mechanics Shed,
5,58.547223115234374,-155.79369504231772,54471,LB - Plumbers Shed,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/54471.jpg,"$81,853",324 Sq Ft,OPERATING,Storage,1972,NPS,LB - Plumbers Shed ,
6,58.54710796766494,-155.79414289605035,38407,LB-3 Brooks Lake Quarters,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38407.jpg,"$444,691","1,095 Sq Ft",OPERATING,Housing-Single Family,1948,NPS,LB-3 Brooks Lake Quarters,
7,58.54674516710071,-155.79350381944445,53680,LB-WELL  Wellhouse,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/53680.jpg,"$113,635",320 Sq Ft,OPERATING,Pump/Well House,2003,NPS,LB-WELL Wellhouse ,
8,58.54628235243058,-155.79352058376736,95870,LB- KIOSK Picnic Shelter,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/95870.jpg,"$82,905",400 Sq Ft,OPERATING,Entrance Station,1984,NPS,LB- KIOSK Picnic Shelter,
9,58.54634861653648,-155.7930850499132,95875,LB- RR Outhouse for Picnic Area,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/95875.jpg,"$36,877",88 Sq Ft,OPERATING,Comfort Station,1996,NPS,LB- RR Outhouse for Picnic Area,
10,58.54571784939236,-155.79274975585938,38406,LB-2 Lake Brooks Quarters,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38406.jpg,"$277,583","1,008 Sq Ft",OPERATING,Housing-Single Family,1962,NPS,LB-2 Lake Brooks Quarters,
11,58.5455366503906,-155.79254270507812,38405,LB-1 Lake Brooks Quarters,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/38405.jpg,"$599,752","1,008 Sq Ft",OPERATING,Housing-Single Family,1962,NPS,LB-1 Lake Brooks Quarters,
12,58.550747204861125,-155.7819535405816,86629,BFT-RR Falls Trail Visitor Comfort Station (2003),http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/86629.jpg,"$60,689",144 Sq Ft,OPERATING,Comfort Station,2003,NPS,BFT-RR Falls Trail Visitor Comfort Station (2003),
13,58.560077319878474,-155.777894656033,91432,BR-P3 Campground Lean-to (3),http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/91432.jpg,"$19,897",96 Sq Ft,OPERATING,Shed/Outbuild,2007,NPS,BR-P3 Campground Lean-to (3) ,
14,58.559985728081585,-155.77790843641492,91481,BR-CFC Campground Food Cache/Gear Shed/Trash Storage,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/91481.jpg,"$76,547",303 Sq Ft,OPERATING,Storage,2007,NPS,BR-CFC Campground Food Cache/Gear Shed/Trash Storage,
15,58.560144022352404,-155.77750963324652,91427,BR-P1 Campground Lean-to (1),http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/91427.jpg,"$35,092",96 Sq Ft,OPERATING,Shed/Outbuild,2007,NPS,BR-P1 Campground Lean-to (1),
16,58.559873809678834,-155.7775967545573,91431,BR-P2 Campground Lean-to (2),http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/91431.jpg,"$19,897",96 Sq Ft,OPERATING,Shed/Outbuild,2007,NPS,BR-P2 Campground Lean-to (2),
