Number,Latitude,Longitude,Title,Short_Desc,Image_Url,Cost,Size,Category,Date,Occupant
1,58.45356516,-135.8546302,94360,DA - Depot Soil Remediation Shed GBA43,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94360_2012-06-19_10-03-49_AM_thm.jpg,"$33,626","204 Sq Ft",Shed/Outbuild,"2003",NPS
2,58.45363226,-135.8546123,94362,REMOVED - DA - Depot Bobcat Storage Shed GBA44,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94362_2008-06-17_02-41-12_PM_thm.jpg,"$10,219","200 Sq Ft",Shed/Outbuild,"",NPS
3,58.45594069,-135.8689125,94364,HQ - Inner Dock Fire Hydrant Building GBA46,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94364_2008-06-20_11-54-19_AM_thm.jpg,"$6,355","22 Sq Ft",Shed/Outbuild,"2000",NPS
4,58.45595345,-135.8683221,42545,HQ - Resource Management / Ranger Office Building GBA06,http://akrgis.nps.gov/apps/buildings/photos/thumbs/42545_2008-06-20_12-10-35_PM_thm.jpg,"$1,476,580","3,549 Sq Ft",Administrative,"1958",NPS
5,58.45605948,-135.8680807,42566,HQ - Headquarters Mail Shed Building GBA90,http://akrgis.nps.gov/apps/buildings/photos/thumbs/42566_2008-06-20_12-17-11_PM_thm.jpg,"$30,975","100 Sq Ft",Administrative,"1990",NPS
6,58.45608846,-135.8680039,42565,HQ - Headquarters Emergency Cache Building GBA89,http://akrgis.nps.gov/apps/buildings/photos/thumbs/42565_2008-06-20_12-24-56_PM_thm.jpg,"$210,095","661 Sq Ft",Fire Cache,"2000",NPS
7,58.45598525,-135.8678605,94368,HQ - Fire Hydrant Building GBA47,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94368_2008-06-20_12-31-16_PM_thm.jpg,"$6,355","22 Sq Ft",Storage,"2000",NPS
8,58.45600201,-135.8678207,87178,HQ - Headquarters Trash Collection Shed GBA125,http://akrgis.nps.gov/apps/buildings/photos/thumbs/87178_2008-06-20_12-59-38_PM_thm.jpg,"$13,865","48 Sq Ft",Shed/Outbuild,"1980",NPS
9,58.45616287,-135.8674372,42555,HQ - Headquarters Maintenance Storage Building GBA35 REMOVED,http://akrgis.nps.gov/apps/buildings/photos/thumbs/42555_2008-06-20_01-05-26_PM_thm.jpg,"$249,346","1,220 Sq Ft",Storage,"",NPS
10,58.45676241,-135.8666314,70958,HQ - Sauna Building GBA63,http://akrgis.nps.gov/apps/buildings/photos/thumbs/70958_2008-06-20_01-21-36_PM_thm.jpg,"$13,446","70 Sq Ft",General Bldg,"1975",NPS
11,58.45244987,-135.8875249,97084,UC - Santec Shelter GBA123,http://akrgis.nps.gov/apps/buildings/photos/thumbs/97084_2008-06-20_03-17-47_PM_thm.jpg,"$659,541","3,600 Sq Ft",Sewage Treatment,"2007",NPS
12,58.45279501,-135.8873888,42548,UC - Power Plant Building GBA08,http://akrgis.nps.gov/apps/buildings/photos/thumbs/42548_2008-06-20_03-32-10_PM_thm.jpg,"$3,457,230","11,520 Sq Ft",Power Generating,"1976",NPS
13,58.45283738,-135.8871508,73462,UC - Fuel Truck Building GBA93,http://akrgis.nps.gov/apps/buildings/photos/thumbs/73462_2008-06-20_03-35-52_PM_thm.jpg,"$82,467","419 Sq Ft",Equip/Vehicle,"2001",NPS
14,58.45291585,-135.8870135,73460,UC - Oil Storage Building GBA92,http://akrgis.nps.gov/apps/buildings/photos/thumbs/73460_2008-06-20_03-39-20_PM_thm.jpg,"$119,282","621 Sq Ft",Chemical,"2000",SHARED
15,58.45302626,-135.8870208,73458,UC - Fuel / Gasoline Pump Building GBA87,http://akrgis.nps.gov/apps/buildings/photos/thumbs/73458_2008-06-20_03-43-22_PM_thm.jpg,"$62,722","209 Sq Ft",Transport Bldg,"1996",NPS
16,58.45263809,-135.8876915,94386,UC - Spill Response Container GBA113,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94386_2008-06-18_02-57-32_PM_thm.jpg,"$30,733","160 Sq Ft",Storage,"1990",NPS
17,58.45258325,-135.887732,94388,UC - Interpretation Storage Container GBA115,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94388_2008-06-18_03-20-02_PM_thm.jpg,"$61,466","320 Sq Ft",Storage,"1999",NPS
18,58.45431484,-135.8853429,83762,PD - Comfort Station Building GBA101,http://akrgis.nps.gov/apps/buildings/photos/thumbs/83762_2008-06-20_01-54-21_PM_thm.jpg,"$170,295","384 Sq Ft",Comfort Station,"2003",NPS
19,58.45434949,-135.8852553,42547,PD - Visitor Information Station Building GBA07,http://akrgis.nps.gov/apps/buildings/photos/thumbs/42547_2008-06-20_02-02-30_PM_thm.jpg,"$340,147","767 Sq Ft",Visitor/Interp,"1984",NPS
20,58.45444721,-135.8849464,42562,PD - Canoe Exhibit Shelter GBA64,http://akrgis.nps.gov/apps/buildings/photos/thumbs/42562_2008-06-20_02-10-06_PM_thm.jpg,"$168,428","224 Sq Ft",Cultural Center,"1987",NPS
21,58.45456379,-135.88484,78955,PD - Visitor Storage Building GBA33,http://akrgis.nps.gov/apps/buildings/photos/thumbs/78955_2008-06-20_02-18-25_PM_thm.jpg,"$16,555","81 Sq Ft",Storage,"1984",NPS
22,58.45447206,-135.8859491,94398,PD - Fire Hydrant Shed GBA120,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94398_2008-06-20_02-27-08_PM_thm.jpg,"$5,955","31 Sq Ft",Shed/Outbuild,"1981",NPS
